Time,Time from [CET/CEST],Time to [CET/CEST],Solar [MW],Solar_Ratio
2023-06-05 06:00:00+02:00,2023-06-05 06:00:00,2023-06-05 06:15:00,56.0,0.04242424242424243
2023-06-05 06:15:00+02:00,2023-06-05 06:15:00,2023-06-05 06:30:00,64.0,0.048484848484848485
2023-06-05 06:30:00+02:00,2023-06-05 06:30:00,2023-06-05 06:45:00,72.0,0.05454545454545454
2023-06-05 06:45:00+02:00,2023-06-05 06:45:00,2023-06-05 07:00:00,88.0,0.06666666666666667
2023-06-05 07:00:00+02:00,2023-06-05 07:00:00,2023-06-05 07:15:00,108.0,0.08181818181818182
2023-06-05 07:15:00+02:00,2023-06-05 07:15:00,2023-06-05 07:30:00,132.0,0.1
2023-06-05 07:30:00+02:00,2023-06-05 07:30:00,2023-06-05 07:45:00,156.0,0.11818181818181818
2023-06-05 07:45:00+02:00,2023-06-05 07:45:00,2023-06-05 08:00:00,184.0,0.1393939393939394
2023-06-05 08:00:00+02:00,2023-06-05 08:00:00,2023-06-05 08:15:00,212.0,0.1606060606060606
2023-06-05 08:15:00+02:00,2023-06-05 08:15:00,2023-06-05 08:30:00,240.0,0.18181818181818182
2023-06-05 08:30:00+02:00,2023-06-05 08:30:00,2023-06-05 08:45:00,268.0,0.20303030303030303
2023-06-05 08:45:00+02:00,2023-06-05 08:45:00,2023-06-05 09:00:00,296.0,0.22424242424242424
2023-06-05 09:00:00+02:00,2023-06-05 09:00:00,2023-06-05 09:15:00,324.0,0.24545454545454545
2023-06-05 09:15:00+02:00,2023-06-05 09:15:00,2023-06-05 09:30:00,348.0,0.2636363636363636
2023-06-05 09:30:00+02:00,2023-06-05 09:30:00,2023-06-05 09:45:00,376.0,0.28484848484848485
2023-06-05 09:45:00+02:00,2023-06-05 09:45:00,2023-06-05 10:00:00,408.0,0.3090909090909091
2023-06-05 10:00:00+02:00,2023-06-05 10:00:00,2023-06-05 10:15:00,436.0,0.3303030303030303
2023-06-05 10:15:00+02:00,2023-06-05 10:15:00,2023-06-05 10:30:00,464.0,0.3515151515151515
